Tail	Head	Cost	E[Time]	Fft	Sigma(Time)
405	488	161	88	60.6	6
406	405	369	164	151.79999999999998	5
406	407	515	211	198.6	5
406	677	138	133	120.0	5
406	682	372	201	147.0	13
407	406	515	228	198.6	5
407	408	497	229	195.0	6
407	687	138	109	102.6	5
407	692	415	182	148.20000000000002	7
408	407	497	249	195.0	12
408	409	323	137	130.2	5
408	689	177	140	131.4	5
408	694	355	272	126.6	48
409	408	323	141	130.2	5
409	410	605	251	235.8	5
409	538	238	100	88.2	5
409	539	431	278	171.6	30
410	409	605	295	235.8	13
410	411	505	197	163.20000000000002	7
410	690	475	189	174.0	5
410	700	107	136	65.4	23
411	410	505	263	163.20000000000002	28
411	412	496	189	163.8	5
411	685	493	191	182.4	5
411	695	107	68	62.400000000000006	5
412	411	496	236	163.8	18
412	413	485	181	156.6	5
413	412	485	225	156.6	17
413	414	474	173	157.20000000000002	5
413	730	535	211	201.0	5
413	734	105	45	39.0	5
414	413	474	210	157.20000000000002	12
414	415	739	251	245.99999999999997	5
414	731	540	202	197.4	5
414	735	107	39	32.400000000000006	5
415	414	739	251	245.99999999999997	5
415	416	1040	345	340.2	5
415	727	717	293	288.0	5
415	733	296	185	180.6	5
416	415	1040	347	340.2	5
416	417	945	314	309.0	5
416	726	345	97	92.4	5
416	732	667	321	316.8	5
417	416	945	315	309.0	5
417	732	1385	595	590.4	5
417	913	528	212	207.0	5
417	926	1101	382	377.4	5
418	419	930	334	316.2	5
418	921	395	237	231.6	5
418	922	718	296	286.2	5
418	923	1756	544	538.8000000000001	5
419	418	930	321	316.2	5
419	420	813	299	268.2	5
419	739	576	309	304.20000000000005	5
419	743	275	91	86.39999999999999	5
420	419	813	274	268.2	5
420	421	502	230	197.4	6
420	751	422	159	154.2	5
420	752	153	106	100.8	5
421	420	502	203	197.4	5
421	422	549	262	211.79999999999998	11
421	753	249	74	56.4	5
421	754	310	178	171.6	5
422	421	549	218	211.79999999999998	5
422	423	474	275	186.6	23
422	762	103	82	52.2	8
422	766	515	264	216.6	10
423	422	474	195	186.6	5
423	424	523	288	205.8	20
423	764	117	123	36.0	34
423	767	590	268	244.8	5
424	423	523	214	205.8	5
424	425	518	286	198.6	22
424	773	115	98	78.0	5
424	777	562	276	223.20000000000002	11
425	424	518	208	198.6	5
425	426	259	168	102.6	18
425	775	249	176	157.20000000000002	5
425	779	293	136	88.8	12
426	425	259	116	102.6	5
426	427	161	94	66.60000000000001	6
426	441	744	334	289.20000000000005	8
427	426	161	89	66.60000000000001	5
427	428	547	251	210.0	8
427	594	125	93	85.8	5
427	779	435	164	159.0	5
428	427	547	224	210.0	5
428	429	115	52	46.800000000000004	5
428	431	161	84	62.400000000000006	5
429	428	115	58	46.800000000000004	5
429	430	101	42	37.8	5
429	593	169	148	143.4	5
429	778	405	171	166.2	5
430	429	101	42	37.8	5
431	428	161	69	62.400000000000006	5
431	432	544	317	211.2	28
431	593	115	83	76.2	5
431	597	410	179	174.60000000000002	5
432	431	544	253	211.2	8
432	433	402	221	157.20000000000002	16
432	595	281	195	189.60000000000002	5
432	599	264	91	79.80000000000001	5
433	432	402	188	157.20000000000002	6
433	434	340	193	141.0	12
433	616	473	210	204.0	5
433	617	129	95	90.0	5
434	433	340	167	141.0	5
434	435	440	229	184.2	9
434	618	535	252	247.20000000000002	5
434	619	107	46	39.0	5
435	434	440	220	184.2	7
435	436	301	172	115.19999999999999	15
435	552	221	83	53.4	7
435	554	297	255	235.8	5
436	435	301	173	115.19999999999999	15
436	437	465	324	184.8	41
436	496	161	120	61.2	18
437	436	465	327	184.8	42
437	438	642	370	248.39999999999998	32
437	554	175	58	37.2	5
437	556	561	440	430.79999999999995	5
438	437	642	371	248.39999999999998	32
438	439	371	161	144.0	5
438	535	1198	512	490.2	5
438	536	314	174	126.6	11
438	540	254	179	100.8	23
439	438	371	177	144.0	7
439	440	391	193	151.79999999999998	9
439	614	395	178	163.20000000000002	5
439	615	131	140	116.39999999999999	5
440	439	391	235	151.79999999999998	22
440	441	412	173	157.79999999999998	5
440	612	395	208	158.4	11
440	613	145	148	112.8	8
441	426	744	296	289.20000000000005	5
441	440	412	200	157.79999999999998	9
441	591	316	206	191.4	5
441	596	221	69	43.199999999999996	7
442	443	663	220	215.39999999999998	5
442	898	1056	394	389.40000000000003	5
442	899	261	171	166.79999999999998	5
442	929	5557	383	378.59999999999997	5
443	442	663	220	215.39999999999998	5
443	444	765	272	267.0	5
443	897	170	299	78.0	91
443	898	645	248	238.8	5
444	443	765	272	267.0	5
444	445	917	305	300.0	5
445	444	917	305	300.0	5
445	446	1151	382	376.2	5
445	885	800	387	382.2	5
445	886	277	68	63.0	5
446	445	1151	381	376.2	5
446	447	1062	354	346.8	5
446	858	239	149	144.60000000000002	5
446	859	801	317	312.6	5
447	446	1062	352	346.8	5
447	448	730	248	238.8	5
447	848	644	340	335.4	5
447	849	365	117	112.2	5
448	447	730	244	238.8	5
448	449	505	207	196.79999999999998	5
448	664	465	174	166.79999999999998	5
448	665	111	75	70.19999999999999	5
449	448	505	202	196.79999999999998	5
449	450	309	127	120.0	5
449	662	445	179	174.60000000000002	5
449	663	115	92	84.6	5
450	449	309	125	120.0	5
450	451	221	92	86.39999999999999	5
450	453	685	282	273.59999999999997	5
450	508	594	235	228.0	5
451	450	221	91	86.39999999999999	5
451	452	338	143	130.8	5
451	654	339	113	108.60000000000001	5
451	655	207	154	148.8	5
452	451	338	136	130.8	5
452	525	364	171	139.2	7
452	652	365	136	130.2	5
452	654	191	142	136.79999999999998	5
453	450	685	284	273.59999999999997	5
453	454	1543	636	616.1999999999999	5
453	650	442	243	169.2	19
453	841	125	115	88.8	6
454	453	1543	643	616.1999999999999	5
454	455	506	211	193.8	5
454	838	335	120	115.8	5
454	840	203	152	147.0	5
455	454	506	212	193.8	5
455	456	494	184	162.0	5
455	833	362	167	162.0	5
455	835	200	176	171.0	5
456	455	494	181	162.0	5
456	457	538	189	175.8	5
456	834	332	125	120.6	5
456	836	191	149	144.60000000000002	5
457	456	538	192	175.8	5
457	458	267	97	90.0	5
457	829	515	226	219.0	5
457	831	115	69	43.199999999999996	7
458	457	267	99	90.0	5
458	459	231	91	85.8	5
458	467	949	323	310.2	5
458	468	522	195	174.60000000000002	5
459	458	231	92	85.8	5
459	460	852	289	279.6	5
459	832	215	81	76.2	5
459	845	614	468	463.2	5
460	459	852	303	279.6	5
460	461	1146	389	378.0	5
460	872	812	356	351.6	5
460	875	185	137	132.6	5
461	460	1146	399	378.0	5
461	462	979	331	323.4	5
461	874	410	146	141.0	5
461	877	665	357	352.2	5
462	461	979	334	323.4	5
462	873	551	212	207.0	5
462	876	463	266	261.0	5
462	927	1305	474	466.8	5
463	464	703	240	234.0	5
463	928	2814	971	957.6	5
464	463	703	241	234.0	5
464	465	1319	440	432.6	5
464	883	471	240	235.2	5
464	884	568	195	190.8	5
465	464	1319	441	432.6	5
465	466	1014	353	344.40000000000003	5
465	862	756	275	270.0	5
465	881	260	153	148.8	5
466	465	1014	353	344.40000000000003	5
466	467	969	332	319.8	5
466	855	355	105	100.19999999999999	5
466	862	671	329	324.0	5
467	458	949	329	310.2	5
467	466	969	329	319.8	5
467	845	372	130	125.39999999999999	5
467	855	640	357	352.8	5
468	458	522	183	174.60000000000002	5
468	469	538	195	175.2	5
468	829	281	84	79.80000000000001	5
468	830	254	176	171.0	5
469	468	538	183	175.2	5
469	470	497	195	163.8	6
469	819	111	25	20.400000000000002	5
469	824	598	245	240.6	5
470	469	497	174	163.8	5
470	471	700	304	247.20000000000002	12
470	817	103	49	44.4	5
470	822	540	206	201.6	5
471	470	700	259	247.20000000000002	5
471	472	536	265	175.2	24
471	815	547	235	230.39999999999998	5
471	816	111	41	36.6	5
472	471	536	188	175.2	5
472	473	262	152	105.0	12
472	813	316	89	83.39999999999999	5
472	815	244	140	133.20000000000002	5
473	472	262	111	105.0	5
473	474	505	201	193.8	5
473	475	494	231	190.2	8
473	707	651	280	263.4	5
473	813	125	95	86.39999999999999	5
474	473	505	199	193.8	5
474	538	505	221	199.2	5
474	701	138	108	103.8	5
474	706	407	187	147.0	8
475	473	494	196	190.2	5
475	476	258	125	100.8	5
475	706	425	190	184.8	5
475	707	199	109	104.4	5
476	475	258	106	100.8	5
476	477	571	267	222.6	9
476	705	386	128	121.2	5
476	707	200	172	167.4	5
477	476	571	230	222.6	5
477	478	388	209	151.79999999999998	14
477	503	134	60	52.8	5
477	504	147	67	57.0	5
478	477	388	178	151.79999999999998	5
478	479	510	319	194.4	35
478	633	333	124	114.6	5
478	703	222	171	161.4	5
479	478	510	244	194.4	11
479	480	198	111	79.2	8
479	629	378	151	127.2	5
479	693	162	202	112.8	26
480	479	198	105	79.2	6
480	481	218	92	84.6	5
480	483	257	153	100.8	14
480	484	304	170	127.8	9
480	486	320	149	121.79999999999998	5
481	480	218	92	84.6	5
481	482	82	37	32.400000000000006	5
481	483	185	106	100.19999999999999	5
481	691	390	169	145.2	5
482	481	82	37	32.400000000000006	5
483	480	257	153	100.8	14
483	481	185	105	100.19999999999999	5
483	539	520	230	199.8	5
483	693	115	49	30.0	5
484	480	304	163	127.8	8
484	485	505	278	195.6	21
484	627	293	152	118.8	7
484	629	258	224	219.0	5
485	484	505	265	195.6	16
485	489	412	276	159.60000000000002	34
485	626	296	140	100.8	9
485	628	230	181	170.39999999999998	5
486	480	320	146	121.79999999999998	5
486	535	42	36	17.4	5
486	627	355	172	133.20000000000002	8
486	691	180	150	144.0	5
487	488	406	178	159.0	5
487	535	590	282	247.20000000000002	6
487	681	277	125	81.60000000000001	11
487	682	254	209	182.4	5
488	405	161	69	60.6	5
488	487	406	227	159.0	17
488	680	388	220	178.20000000000002	9
488	682	171	193	166.2	5
489	485	412	272	159.60000000000002	32
489	490	165	86	63.6	5
489	630	291	167	160.8	5
489	631	298	260	253.8	5
490	489	165	77	63.6	5
490	491	405	220	156.6	16
490	557	411	226	215.39999999999998	5
490	631	202	238	228.0	5
491	490	405	190	156.6	7
491	492	445	273	170.39999999999998	29
491	558	396	205	192.0	5
491	559	124	56	36.0	5
492	491	445	246	170.39999999999998	19
492	493	167	96	82.2	5
492	561	371	192	185.39999999999998	5
492	562	124	38	29.4	5
493	492	167	89	82.2	5
493	494	322	190	134.4	14
493	497	238	155	116.39999999999999	9
493	562	97	82	75.6	5
493	564	308	109	82.2	6
494	493	322	199	134.4	17
494	495	437	218	168.6	11
494	561	113	65	60.0	5
494	563	372	169	139.8	6
495	494	437	270	168.6	28
495	496	400	204	153.6	12
495	551	552	289	281.40000000000003	5
495	560	103	64	56.4	5
496	436	161	120	61.2	18
496	495	400	228	153.6	19
496	553	248	90	78.0	5
496	556	166	238	222.6	5
497	493	238	200	116.39999999999999	24
497	498	97	56	39.6	5
498	497	97	71	39.6	9
498	499	212	93	80.4	5
498	533	207	114	96.60000000000001	5
499	498	212	100	80.4	5
499	500	440	214	170.39999999999998	9
499	567	257	104	93.60000000000001	5
499	569	177	146	139.2	5
500	499	440	297	170.39999999999998	37
500	501	559	261	216.6	9
500	566	260	163	109.2	14
500	570	113	103	81.60000000000001	5
501	500	559	339	216.6	33
501	502	539	226	209.4	5
501	571	190	155	149.4	5
501	636	180	51	37.2	5
502	501	539	259	209.4	11
502	503	562	242	232.20000000000002	5
502	632	277	241	100.19999999999999	49
502	634	268	307	234.60000000000002	17
503	477	134	58	52.8	5
503	502	562	262	232.20000000000002	5
503	504	61	36	31.200000000000003	5
503	633	515	222	210.0	5
504	477	147	70	57.0	5
504	503	61	38	31.200000000000003	5
504	505	545	230	210.6	5
504	635	120	33	27.0	5
505	504	545	274	210.6	14
505	506	377	163	145.2	5
505	634	303	100	88.8	5
505	639	235	150	145.2	5
506	505	377	204	145.2	14
506	507	605	263	235.2	5
506	639	145	113	108.0	5
506	644	407	171	155.39999999999998	5
507	506	605	300	235.2	15
507	508	1195	492	471.6	5
507	578	871	490	485.4	5
507	646	46	150	90.6	17
508	450	594	234	228.0	5
508	507	1195	519	471.6	8
508	509	319	171	144.60000000000002	5
509	508	319	182	144.60000000000002	8
509	510	505	271	194.4	19
509	659	185	42	35.4	5
509	667	365	308	303.0	5
510	509	505	272	194.4	19
510	511	41	27	18.0	5
510	658	177	29	22.2	5
510	666	375	249	244.8	5
511	510	41	28	18.0	5
511	512	350	183	132.6	12
511	521	484	194	187.20000000000002	5
511	522	721	289	282.0	5
512	511	350	187	132.6	13
512	513	579	277	223.8	11
512	661	185	46	34.8	5
512	670	578	453	448.8	5
513	512	579	300	223.8	18
513	514	825	350	318.59999999999997	5
513	902	530	255	215.39999999999998	8
513	905	996	553	547.1999999999999	5
514	513	825	367	318.59999999999997	9
514	515	680	277	265.79999999999995	5
514	903	433	167	156.6	5
514	905	1135	681	676.1999999999999	5
515	514	680	281	265.79999999999995	5
515	516	893	351	346.2	5
515	534	252	107	96.60000000000001	5
515	544	51	22	17.4	5
515	932	1764	360	355.79999999999995	5
516	515	893	351	346.2	5
516	517	1113	369	364.20000000000005	5
516	903	1219	546	537.6	5
516	906	189	102	97.2	5
517	516	1113	369	364.20000000000005	5
517	518	1215	403	398.4	5
517	908	277	158	153.0	5
517	909	728	268	263.4	5
518	517	1215	403	398.4	5
518	911	613	320	315.59999999999997	5
518	912	366	103	98.39999999999999	5
518	930	6482	564	559.2	5
519	520	115	50	45.0	5
519	521	423	169	163.20000000000002	5
519	668	60	59	38.4	5
519	670	542	194	188.4	5
520	519	115	50	45.0	5
521	511	484	208	187.20000000000002	5
521	519	423	168	163.20000000000002	5
521	666	134	40	33.0	5
521	670	461	241	235.8	5
522	511	721	287	282.0	5
522	523	964	447	438.59999999999997	5
523	522	964	443	438.59999999999997	5
523	530	350	209	134.4	20
523	545	10	12	7.199999999999999	5
524	525	497	202	194.4	5
524	545	627	306	265.2	7
524	578	464	286	280.2	5
524	647	135	101	94.80000000000001	5
525	452	364	147	139.2	5
525	524	497	231	194.4	7
525	652	180	159	154.2	5
525	657	378	156	150.6	5
526	527	907	435	360.59999999999997	15
526	528	1452	785	590.4	47
526	541	74	31	26.4	5
526	546	496	198	193.8	5
527	526	907	456	360.59999999999997	21
527	542	103	44	39.0	5
527	543	618	290	238.20000000000002	11
527	546	548	259	254.4	5
528	526	1452	633	590.4	7
528	529	220	92	85.8	5
