Tail	Head	Distribution	Parameters
28	574	lognorm	(0.829619877364073, 0.004923498737137482, 3.445038941459317)
29	575	lognorm	(0.8363561165112885, 0.01749168690574962, 3.5963063242582045)
30	576	lognorm	(0.8675344679646795, 0.1201657606866082, 3.3988559674894265)
31	577	lognorm	(0.8554299031183454, -0.009115678132553005, 3.7436979540397424)
32	578	lognorm	(0.8241817283032955, -0.032226762378937235, 3.620512614642924)
33	579	lognorm	(0.8176497245073635, 0.006319771102068595, 3.5606397539103174)
34	580	lognorm	(0.8735293394501515, 0.057254525227051045, 3.423476985411222)
35	581	lognorm	(0.8241366095291704, -0.05150387014898124, 3.508433869670676)
36	582	lognorm	(0.8732237832652963, 0.03509740909587819, 3.506062155259804)
37	583	lognorm	(0.794156192887085, -0.08609881539179318, 3.674238186655944)
38	584	lognorm	(0.8227441198457185, 0.06301753993253494, 3.5219714543184573)
39	585	lognorm	(0.8233816095072135, -0.016956692061255548, 3.419554160184605)
40	586	lognorm	(0.8297951614178443, 0.07589490049656973, 3.61075353088433)
41	587	lognorm	(0.8870856562071043, 0.08450224307133661, 3.449632235980493)
42	588	lognorm	(0.8530860079680466, 0.0534075693668587, 3.357024943960905)
43	589	lognorm	(0.829581935937729, -0.015437879575396687, 3.6418501012533513)
44	590	lognorm	(0.7997188124736194, -0.01168508622308432, 3.4335984859847923)
45	591	lognorm	(0.8079544234575728, 0.017138764602326474, 3.5193090379843346)
46	592	lognorm	(0.8181367854152095, -0.044448384272117905, 3.617248032150796)
47	593	lognorm	(0.8536017738410067, 0.011125408861911837, 3.4214838732964123)
48	594	lognorm	(0.8577562905193231, 0.05923655951956172, 3.4799074400639425)
49	595	lognorm	(0.7931689683184922, -0.09562680338382631, 3.597178786542175)
50	596	lognorm	(0.7984710173326395, -0.06728551361717769, 3.632154150405249)
51	597	lognorm	(0.8552006206959186, 0.062364595337611545, 3.584917554047256)
52	598	lognorm	(0.7874454610347663, -0.08182156022268225, 3.534822257252482)
53	599	lognorm	(0.8647898047957411, 0.037375035576360995, 3.3608713742627785)
54	600	lognorm	(0.7989864882500591, -0.03183803058840699, 3.696511781351308)
55	601	lognorm	(0.8230620416362329, -0.09075812274021117, 3.6097219957689415)
56	602	lognorm	(0.8262875309310902, -0.04342744925714757, 3.4858670128924554)
57	603	lognorm	(0.8389838354718093, 0.02846021679512651, 3.469043168255495)
58	604	lognorm	(0.8514097523947837, 0.03410465073548617, 3.440924594160438)
59	605	lognorm	(0.8311032536123159, -0.017580049716037084, 3.6578049366921954)
60	606	lognorm	(0.8236352220285483, -0.02265940513834214, 3.6540634959327805)
61	607	lognorm	(0.861614429902613, 0.11386581215694665, 3.7526138796352617)
62	608	lognorm	(0.848594584233465, 0.17457048319308538, 3.4160217868246225)
63	609	lognorm	(0.8079171028263086, -0.07216759720522944, 3.599690889998514)
64	610	lognorm	(0.773847537637632, -0.12235348907454077, 3.692010793951624)
65	611	lognorm	(0.8366930858943326, -0.030987595890396947, 3.4716313949186643)
66	612	lognorm	(0.7913884619285365, -0.04363314732351979, 3.6573405375459656)
67	613	lognorm	(0.8791241646501419, 0.06368482599851433, 3.6074743587138176)
68	614	lognorm	(0.8320829852943115, 0.04350486432609346, 3.388581343866531)
69	615	lognorm	(0.821617265942272, -0.05746656850143287, 3.575647625785331)
70	616	lognorm	(0.852281479218634, 0.04297962377744874, 3.4030860039526223)
71	617	lognorm	(0.7852564571699898, -0.046920252522638956, 3.580855038360217)
72	618	lognorm	(0.8230937508978851, -0.007791150578544501, 3.6484174196911816)
73	619	lognorm	(0.8465587020929606, 0.013482482536261761, 3.4361193599564093)
74	620	lognorm	(0.8772300066513001, 0.0877884184960799, 3.452647813152212)
75	621	lognorm	(0.8569596868780187, 0.028352860347520926, 3.5300068831714997)
76	622	lognorm	(0.8197223581384903, -0.004157453471102522, 3.595858682353544)
77	623	lognorm	(0.8578683094049426, 0.06874589899939723, 3.3165593765277324)
78	624	lognorm	(0.7961506355214398, -0.16880855751433488, 3.7148176112780495)
79	625	lognorm	(0.80330544784634, 0.01933718665086908, 3.482826293780956)
80	626	lognorm	(0.8788070263706409, 0.058365773794477646, 3.3537258186046586)
81	627	lognorm	(0.8339718648579177, 0.043813654917831305, 3.4037898723651896)
82	628	lognorm	(0.8555390193469383, 0.006033163968289076, 3.656860406795599)
83	629	lognorm	(0.8848257883337474, 0.09749259027286866, 3.3052033517306914)
84	630	lognorm	(0.8196236557076397, -0.003293352467384802, 3.555710227846732)
85	631	lognorm	(0.823064507956268, -0.04151861191675926, 3.5794226560607174)
86	632	lognorm	(0.8602727374128518, -0.020682470070485834, 3.4592485837268736)
87	633	lognorm	(0.8229624936753435, 0.04247142382231757, 3.4268020645402784)
88	634	lognorm	(0.8270459548897207, -0.04396067629755021, 3.741709287598459)
89	635	lognorm	(0.8886616693173632, 0.1044755704013893, 3.4158444416999334)
90	636	lognorm	(0.8312429374349672, 0.012603904283719759, 3.5485466351989503)
91	637	lognorm	(0.826388431808242, 0.0006795438082701815, 3.543520449527645)
92	638	lognorm	(0.7689134636157311, -0.16458370170981051, 3.614569051088848)
93	639	lognorm	(0.8335551444822271, 0.09378121775668596, 3.3514064629370623)
94	640	lognorm	(0.8382863398344773, 0.021758962847166673, 3.4779818005930045)
95	641	lognorm	(0.8555719309725967, 0.0813492130207214, 3.3449378726355485)
96	642	lognorm	(0.8519834878912081, 0.0580985097342044, 3.390872173861956)
97	643	lognorm	(0.7680810684297324, -0.15887785894767953, 3.7031820409668423)
98	644	lognorm	(0.8285493626888849, 0.051753504075423236, 3.5830763553203626)
99	645	lognorm	(0.8235692000917003, 0.07071495005889726, 3.437400532188141)
100	646	lognorm	(0.8286565806007422, 0.0020477538002859194, 3.4524869466566424)
101	647	lognorm	(0.8278407291817557, 0.020948536015890647, 3.4641293518071743)
102	648	lognorm	(0.8503017223203979, 0.043332627234487026, 3.640050714603449)
103	649	lognorm	(0.7991320973180981, -0.059841691220527876, 3.4509451082606697)
104	650	lognorm	(0.7908890342087945, -0.03893592051582752, 3.8306165672387067)
105	651	lognorm	(0.8503371182624226, -0.07047217089795998, 3.7316518164679833)
106	652	lognorm	(0.9022718088220044, 0.18182585533323234, 3.1108060516531926)
107	653	lognorm	(0.8211146587691749, 0.04011216719228554, 3.598520058507958)
108	654	lognorm	(0.7844896982900482, -0.10913353499707273, 3.5841661032189114)
109	655	lognorm	(0.8304869469035501, -0.00015102485651925093, 3.552160235418223)
110	656	lognorm	(0.8781892385840333, 0.0637815208091278, 3.302831458663281)
111	657	lognorm	(0.811462479699049, -0.03795212789708095, 3.658432950988949)
112	658	lognorm	(0.8227414353704794, -0.03237068587967326, 3.497478882812029)
113	659	lognorm	(0.8407916571534596, 0.06848218016987678, 3.500767067290332)
114	660	lognorm	(0.8195443137941298, 0.009299486233297108, 3.479940401462005)
115	661	lognorm	(0.8429473931331034, -0.02251802230598918, 3.5849789240879253)
116	662	lognorm	(0.7850351031075934, -0.06577165104512857, 3.578958318836791)
117	663	lognorm	(0.8124990514956785, -0.05761132809607801, 3.662924355660819)
118	664	lognorm	(0.8333272967833392, 0.003113381635490625, 3.69460760949851)
119	665	lognorm	(0.8498017540263817, 0.02981377215336576, 3.3484371608919696)
120	666	lognorm	(0.879206765340331, 0.0976906423139607, 3.415163798744382)
121	667	lognorm	(0.8183992060310301, -0.048521638592271016, 3.451038358061176)
122	668	lognorm	(0.8428896383818502, 0.049703791266015214, 3.5059445214558353)
123	669	lognorm	(0.7972939336657043, -0.024656418575893783, 3.544409096785256)
124	670	lognorm	(0.8518834615305981, 0.031246432716471227, 3.5386738762574317)
125	671	lognorm	(0.8284048114033302, 0.06022098312230229, 3.4906049650677975)
126	672	lognorm	(0.8121995072241528, -0.023233544771123035, 3.6304788904670464)
127	673	lognorm	(0.8387838544147352, 0.044582701435649075, 3.4555283779681405)
128	674	lognorm	(0.813349626927325, 0.019650268608768583, 3.396138095437178)
129	675	lognorm	(0.8401186860299508, -0.05184878536547458, 3.570517971338359)
130	676	lognorm	(0.8625816573100424, 0.04067526487083528, 3.4793352708177507)
131	677	lognorm	(0.8424093841534639, 0.01928838104821376, 3.5139042341407682)
132	678	lognorm	(0.8475543959252438, 0.007734505689265491, 3.5989802895226877)
133	679	lognorm	(0.8366907028935597, 0.0050393511741869375, 3.5234128782353022)
134	680	lognorm	(0.8189254946389504, 0.03530619120086692, 3.480204569931704)
135	681	lognorm	(0.8583285185614323, 0.047833062998910374, 3.4018719825258863)
136	682	lognorm	(0.8622104728179935, -0.004464834144508611, 3.5945779882590774)
137	683	lognorm	(0.8050896056865308, -0.0028196548209191716, 3.557880227366135)
138	684	lognorm	(0.8331485245731107, -0.0634570598670101, 3.603583486308618)
139	685	lognorm	(0.7884095063280132, -0.0696293076084538, 3.5587982236956828)
140	686	lognorm	(0.8256878947227968, -0.0034516845746681143, 3.515816902888881)
141	687	lognorm	(0.8625237232785572, 0.08340192843765903, 3.3150511177088653)
142	688	lognorm	(0.8368495041315656, -0.03901409341486578, 3.5928930755886075)
143	689	lognorm	(0.8668205265730926, 0.0490740402226071, 3.477324691684169)
144	690	lognorm	(0.809125689437992, -0.05472050973933349, 3.705592452390784)
145	691	lognorm	(0.8050862267527251, -0.08147079456165937, 3.768526820639729)
146	692	lognorm	(0.7938393140337251, -0.09748991378312151, 3.894166869112843)
147	693	lognorm	(0.8237822932691358, 0.0188915802275493, 3.5313461263022785)
148	694	lognorm	(0.8648574278391713, 0.08027302088494737, 3.4735096236704175)
149	695	lognorm	(0.8005437790828129, -0.07856539956248013, 3.6572065836023873)
150	696	lognorm	(0.8351802553782517, -0.05647479378130418, 3.6684914120818615)
151	697	lognorm	(0.8121409602985818, -0.10949240906811308, 3.694952595849995)
152	698	lognorm	(0.8459190487358292, 0.003043648491920003, 3.7610533950885694)
153	699	lognorm	(0.8256563428647622, 0.06090781017374185, 3.437992129975141)
154	700	lognorm	(0.8569950876734094, 0.033395442026659214, 3.6009884101625644)
155	701	lognorm	(0.808912563801278, 0.014816180565744963, 3.5663123579227785)
156	702	lognorm	(0.8952915389794485, 0.08897563961249833, 3.568019114586339)
157	703	lognorm	(0.8422648148488368, 0.04134571700777934, 3.440448742766424)
158	704	lognorm	(0.7959738214758394, -0.039912404653522, 3.640751525689815)
159	705	lognorm	(0.8241217632661653, 0.027861623264724644, 3.60955100401711)
160	706	lognorm	(0.8963006587931319, 0.18092774713835758, 3.3291359186727947)
161	707	lognorm	(0.7890222388814285, -0.09683050797254546, 3.5709593322161974)
162	708	lognorm	(0.8019679736121048, -0.053281965324110656, 3.6716126772446755)
163	709	lognorm	(0.8366216369134671, -0.022809116624388746, 3.5181522624517605)
164	710	lognorm	(0.8526253402686146, 0.035629213967919446, 3.409967357840222)
165	711	lognorm	(0.792510527916062, -0.09768645978979312, 3.633589484116251)
166	712	lognorm	(0.8474018425316296, 0.13140081954908017, 3.3035564874291854)
167	713	lognorm	(0.9007088088531696, 0.150184699156797, 3.355757597109978)
168	714	lognorm	(0.759984709858831, -0.16514613778880943, 3.5913530157641755)
169	715	lognorm	(0.8221215286427863, -0.04783205144883776, 3.6618210447724477)
170	716	lognorm	(0.7896216358203852, -0.024944447146785544, 3.5582073633270355)
171	717	lognorm	(0.8065906742187801, -0.04178430143694563, 3.895415366108269)
172	718	lognorm	(0.7986449600509857, -0.03212812000206746, 3.648835197826062)
173	719	lognorm	(0.8496194924489504, 0.048272385839329496, 3.5776303787548747)
174	720	lognorm	(0.8189145188381274, -0.0028615464529029152, 3.4388884035811795)
175	721	lognorm	(0.8115555163345635, 0.002389742999674433, 3.7155540723849256)
176	722	lognorm	(0.8627448537005897, 0.048705404207707644, 3.5016288903772503)
177	723	lognorm	(0.8659310895764085, 0.027115898210534103, 3.545779345567416)
178	724	lognorm	(0.8370342889255775, -0.00202385907027146, 3.7410958081537755)
179	725	lognorm	(0.8732691490519349, 0.20104504301459505, 3.4136564304035186)
180	726	lognorm	(0.7746764361926793, -0.1308400294201525, 3.7498363817380675)
181	727	lognorm	(0.8317324973124463, -0.0008393698722953832, 3.4612876758594826)
182	728	lognorm	(0.8540606363132353, 0.12800798044686013, 3.3299076663121445)
183	729	lognorm	(0.8082609114287767, -0.020741741089552228, 3.5962352347309388)
184	730	lognorm	(0.8641370097773479, -0.028769429999792456, 3.674233415140262)
185	731	lognorm	(0.8548989702624112, 0.06974103656536552, 3.363197311378525)
186	732	lognorm	(0.8434019028374704, -0.00468149936639617, 3.5300004951987667)
187	733	lognorm	(0.8620487594311986, 0.03574480945547662, 3.5009051927242787)
188	734	lognorm	(0.8412755001404296, -0.009337630894949416, 3.3728794999862126)
189	735	lognorm	(0.8231289819839773, -0.06856954475574627, 3.6683796307504757)
190	736	lognorm	(0.8278622341588256, -0.007894751921792292, 3.4405753744162437)
191	737	lognorm	(0.8432113357184639, 0.09192589275960118, 3.3285587001649377)
192	738	lognorm	(0.8607322930370866, 0.13821802335832095, 3.407371091247165)
193	739	lognorm	(0.8046687376262188, -0.001568216630451356, 3.5995273612895646)
194	740	lognorm	(0.8172232091479383, -0.07433508300557115, 3.4657167302402714)
195	741	lognorm	(0.8335534261413902, -0.001509720884567255, 3.5401657260459434)
196	742	lognorm	(0.8364263258748961, -0.0012882632752717177, 3.498730518308406)
197	743	lognorm	(0.8246736022858687, 0.010082551960531663, 3.3501222637447223)
198	744	lognorm	(0.8465682698877359, 0.0473472120083369, 3.51017562718238)
199	745	lognorm	(0.8170114551961274, -0.05689502011783637, 3.7296282318131873)
200	746	lognorm	(0.8494660895788229, 0.15446285324636422, 3.3925768118810113)
201	747	lognorm	(0.8595171817734015, 0.11497885570842371, 3.4649418605347626)
202	748	lognorm	(0.8485157999204269, 0.0772165085943419, 3.541401224618048)
203	749	lognorm	(0.8398458876507595, 0.06966191142504302, 3.4511042279194672)
204	750	lognorm	(0.7916135823655028, -0.03733823554066347, 3.4447717912144666)
205	751	lognorm	(0.8629437652784073, 0.09410110075313316, 3.5282618799349557)
206	752	lognorm	(0.8094236487598018, -0.03509972423363385, 3.6003563661517224)
207	753	lognorm	(0.7680208891070788, -0.10496121928367888, 3.7461221169494787)
208	754	lognorm	(0.8166338667986961, -0.02792016922532671, 3.618887176711496)
209	755	lognorm	(0.7788212001479972, -0.09360032057563192, 3.759051478182669)
210	756	lognorm	(0.8150970350104821, -0.07850248983218198, 3.7392881244075182)
211	757	lognorm	(0.7935217215377293, -0.09359320304113511, 3.746133199798664)
212	758	lognorm	(0.8636531518426054, 0.07994262811545658, 3.199739818881771)
213	759	lognorm	(0.8178170442729178, -0.048311776470071274, 3.680083918480311)
214	760	lognorm	(0.8896007420450376, 0.1251276194436857, 3.3439787790540016)
215	761	lognorm	(0.8153934373372662, 0.016767648997684553, 3.458422264534375)
216	762	lognorm	(0.8247769824885052, -0.041407013525562045, 3.581759963130243)
217	763	lognorm	(0.7832134670265769, -0.0547549927319895, 3.451248010249974)
218	764	lognorm	(0.8021152777933063, -0.016425153504005335, 3.607569857232079)
219	765	lognorm	(0.8464443805879671, 0.02967975862209224, 3.4203520233192553)
220	766	lognorm	(0.8287922154934669, -0.04797745144234623, 3.580401313660164)
221	767	lognorm	(0.8606965853486894, 0.024907840713794566, 3.48994172901065)
222	768	lognorm	(0.8014926585860176, -0.005108213174462485, 3.5030313467895295)
223	769	lognorm	(0.8339102566973537, -0.08711714047851525, 3.52163992895648)
224	770	lognorm	(0.8194629355790488, -0.07200558896706047, 3.5950526706407135)
225	771	lognorm	(0.8274346426602726, -0.02983669034301817, 3.600154076706274)
226	772	lognorm	(0.8505760667552912, 0.0872792999042776, 3.4341288857889265)
227	773	lognorm	(0.8759636650035383, 0.016404523545981646, 3.5390975164723195)
228	774	lognorm	(0.8162855431142291, -0.01409080776073537, 3.4916308099926407)
229	775	lognorm	(0.8590069610909885, 0.06588032688338183, 3.4356682072010196)
230	776	lognorm	(0.8441588923172837, 9.726154402169541e-05, 3.4728687726683756)
231	777	lognorm	(0.8440009900459133, 0.03338122904391639, 3.579270868826386)
232	778	lognorm	(0.8014007435314776, -0.055613505593854404, 3.5985698469861465)
233	779	lognorm	(0.8154608307801934, -0.05835793854178484, 3.58856891312928)
234	780	lognorm	(0.8569639240104572, 0.0731845754497985, 3.449225014096356)
235	781	lognorm	(0.8232014892656188, 0.033530230698605404, 3.3722739921726603)
236	782	lognorm	(0.8660789921039758, 0.039855678859055846, 3.4284777626033804)
237	783	lognorm	(0.8144734713327555, -0.06576487874135661, 3.803168587545777)
238	784	lognorm	(0.8024375888791927, -0.1008711092201321, 3.583097812831388)
239	785	lognorm	(0.8073362430604609, -0.08831334219240544, 3.621714701048898)
240	786	lognorm	(0.8384858264986512, 0.023380366841014237, 3.5209998727024985)
241	787	lognorm	(0.8393434199629287, -0.02926840218846226, 3.5318030481447797)
242	788	lognorm	(0.8235486256517562, 0.02759143893849133, 3.455317265972148)
243	789	lognorm	(0.7959520346880815, -0.03298452423302363, 3.452599492114749)
244	790	lognorm	(0.8306566320038284, -0.06310595111458095, 3.567904506438029)
245	791	lognorm	(0.8121644292434644, -0.05742609336255515, 3.617572176674814)
246	792	lognorm	(0.8310967108362715, -0.0028322202558204073, 3.4896203581852907)
247	793	lognorm	(0.8640763093804191, -0.015200652200699879, 3.512039197714591)
248	794	lognorm	(0.8356943150085783, 0.03757352566019465, 3.3524441527330744)
249	795	lognorm	(0.7932266807150801, -0.16350104311024588, 3.867789581115016)
250	796	lognorm	(0.8065460753015139, -0.0709847452044903, 3.6127442333608153)
251	797	lognorm	(0.8591191709731589, 0.11453529172786336, 3.2450753145095295)
252	798	lognorm	(0.8617874383998365, 0.11487369922753099, 3.4123106599966446)
253	799	lognorm	(0.8803591913049558, 0.0714467919821492, 3.645839254469407)
254	800	lognorm	(0.8837662045245498, 0.11360843801384032, 3.334273703970089)
255	801	lognorm	(0.8129326569822761, -0.00946626989568274, 3.4970724144885796)
256	802	lognorm	(0.8109816079779046, -0.08841805519104351, 3.7476329632124576)
257	803	lognorm	(0.8386204716245167, 0.06085499065310024, 3.4378133516803793)
258	804	lognorm	(0.7800605365297486, -0.006240094050601373, 3.535828868868235)
259	805	lognorm	(0.8239448947692044, 0.00896230477867011, 3.462207222789474)
260	806	lognorm	(0.8392468008780596, 0.05087250021023519, 3.4400043950602432)
261	807	lognorm	(0.83332931146827, -0.0017071589884019508, 3.6256350885094575)
262	808	lognorm	(0.815767364329415, -0.03011235407939996, 3.606681683283224)
263	809	lognorm	(0.7565215964013197, -0.22723779503847868, 3.8521385941819837)
264	810	lognorm	(0.804623022759001, -0.04006686272604934, 3.6906805113971326)
265	811	lognorm	(0.8509111285323885, 0.01971220587631107, 3.6975559074447584)
266	812	lognorm	(0.8829114575681616, 0.018875239638834678, 3.6037199487734743)
267	813	lognorm	(0.8609150246761341, 0.02946302740707101, 3.444528181661943)
268	814	lognorm	(0.8502919997278132, 0.0044622159044007, 3.3962338064802937)
269	815	lognorm	(0.8208742054385809, 0.015839644771962695, 3.4998382440339904)
270	816	lognorm	(0.887936033412273, 0.058640593264520896, 3.5342681711133586)
271	817	lognorm	(0.8419898464742415, 0.010961017573316183, 3.4493878435433762)
272	818	lognorm	(0.8256645272779126, -0.01499292397670225, 3.402424387440975)
273	819	lognorm	(0.8000555421034738, -0.012589746367635705, 3.555463763913319)
274	820	lognorm	(0.8055924661348675, -0.04890973932408542, 3.6209728294247805)
275	821	lognorm	(0.8290603347240766, 0.017141306609299932, 3.6849424630881336)
276	822	lognorm	(0.8782753583789688, 0.008670222937950962, 3.3263979177242913)
277	823	lognorm	(0.8014269157081911, -0.05643288659437663, 3.536571786652919)
278	824	lognorm	(0.8637169529649713, 0.02929369103601131, 3.3919771920821096)
279	825	lognorm	(0.8464940171802677, 0.0200629157764945, 3.594312268179177)
280	826	lognorm	(0.8438235445141893, 0.09846205146155201, 3.4091497158165405)
281	827	lognorm	(0.8391424461123482, 0.09009009361476858, 3.358863776137385)
282	828	lognorm	(0.8611907852551337, 0.07868795483142293, 3.420221330857922)
283	829	lognorm	(0.7796217650773298, -0.11221377529044524, 3.727510714766714)
284	830	lognorm	(0.8497642748570013, 0.0038076841806951103, 3.4231847763828784)
285	831	lognorm	(0.8049742217010345, -0.06707739917483982, 3.560621144130631)
286	832	lognorm	(0.8502983389989527, 0.0808105203456234, 3.4268349422958866)
287	833	lognorm	(0.8121470280685348, -0.0472702590495592, 3.56277088934467)
288	834	lognorm	(0.8514145551364096, -0.025125194915598358, 3.7340021754129618)
289	835	lognorm	(0.8636143837609769, 0.0035659326118443156, 3.5077052218805402)
290	836	lognorm	(0.8468135188429782, 0.021642707666021124, 3.735286061318454)
291	837	lognorm	(0.8105726403428695, 0.0034822743410225067, 3.515968410396166)
292	838	lognorm	(0.7883409184328654, -0.09119189891562869, 3.7256708923281843)
293	839	lognorm	(0.8428540394694153, -0.007530253701397574, 3.6622043133591315)
294	840	lognorm	(0.7915191034476374, -0.089032442001626, 3.7319650518723457)
295	841	lognorm	(0.8521200122489601, 0.02987708117546922, 3.4323764565245654)
296	842	lognorm	(0.8134010280519961, -0.07321046256323258, 3.7624295433393384)
297	843	lognorm	(0.8082958579227053, 0.000763029271018846, 3.692389752563418)
298	844	lognorm	(0.7937165023171124, -0.03936673977863893, 3.606628144428886)
299	845	lognorm	(0.8595222246285885, 0.030050791093366967, 3.5373111010571354)
300	846	lognorm	(0.8635105724696144, 0.10625448209879435, 3.3573653820942715)
301	847	lognorm	(0.843505926291797, 0.06278755832259164, 3.611054818307588)
302	848	lognorm	(0.7779736949481686, -0.0967105891459577, 3.6702148567887023)
303	849	lognorm	(0.8507636747898093, -0.007885941843439343, 3.5066972329606134)
304	850	lognorm	(0.8112069643337378, -0.026501455334119246, 3.4568608393952287)
305	851	lognorm	(0.8144758341218268, -0.0418811857619069, 3.7170300068300763)
306	852	lognorm	(0.8191728311131833, -0.05636410517153246, 3.5742106196380554)
307	853	lognorm	(0.7896813293217548, -0.0967129708558688, 3.6477008365983785)
308	854	lognorm	(0.8272706971309376, -0.014817240308300728, 3.4320466144011417)
309	855	lognorm	(0.8482778764021301, 0.019442468272694267, 3.344225217409618)
310	856	lognorm	(0.8450893348320528, -0.02661347954673744, 3.4132958134272897)
311	857	lognorm	(0.7925422049858547, -0.1300355602295121, 3.733441523256358)
312	858	lognorm	(0.7810888791971922, -0.009052912605998806, 3.507497995452792)
313	859	lognorm	(0.8138514637736651, -0.04043949921741133, 3.586448855635436)
314	860	lognorm	(0.8441233114421487, -0.042435445227459734, 3.5950609579345256)
315	861	lognorm	(0.806296665273297, -0.10745365061474743, 3.745108416742357)
316	862	lognorm	(0.8167933043487604, -0.02682488375328633, 3.4272912666093234)
317	863	lognorm	(0.847511195914044, 0.07873487973191795, 3.4107902746641185)
318	864	lognorm	(0.868629827447128, 0.09139160157511395, 3.379589349460775)
319	865	lognorm	(0.7947721373671961, -0.09869245726530415, 3.675876988759666)
320	866	lognorm	(0.8606906481240255, 0.05094539425248783, 3.395209507398035)
321	867	lognorm	(0.8460341785879779, 0.047706145953152604, 3.444902456411641)
322	868	lognorm	(0.8379186001051518, 0.10667474732985491, 3.4526501498722197)
323	869	lognorm	(0.848216300370572, 0.022340891958284707, 3.4908638775564)
324	870	lognorm	(0.8581722168849868, 0.03309697979115679, 3.3172200761896735)
325	871	lognorm	(0.876701044264953, 0.01320226048871128, 3.4430764135883227)
326	872	lognorm	(0.8149479268578897, 0.03284907747436373, 3.613135442964976)
327	873	lognorm	(0.8416972597337047, -0.008759158234035069, 3.5595037955936126)
328	874	lognorm	(0.8631398657602369, 0.06028021340520708, 3.3836615911748487)
329	875	lognorm	(0.7696700794212441, -0.10019231747636981, 3.5874722528974448)
330	876	lognorm	(0.8381803925916304, -0.0245834786207498, 3.6473804799033345)
331	877	lognorm	(0.7737003340927291, -0.10399297153493098, 3.5378415589727172)
332	878	lognorm	(0.8498757465925324, 0.06936162571930998, 3.4643743868556243)
333	879	lognorm	(0.7998930375448015, -0.0676959384056309, 3.59204740543975)
334	880	lognorm	(0.8281770699338356, 0.07619873527309934, 3.31224876450683)
335	881	lognorm	(0.8466155884544775, 0.08439674119881341, 3.442001087745492)
336	882	lognorm	(0.7895945895757189, -0.007791210579116667, 3.618638459580938)
337	883	lognorm	(0.8323268216651962, 0.027239339120089433, 3.4685502566445034)
338	884	lognorm	(0.8622634147141064, 0.10898626991727506, 3.297628929254152)
339	885	lognorm	(0.9036682645172156, 0.16768257584616603, 3.377035890689501)
340	886	lognorm	(0.8245221605450692, -0.007054027154394736, 3.4733310872677525)
341	887	lognorm	(0.8427071940198094, -0.04019885632506294, 3.551044958568271)
342	888	lognorm	(0.8074417119698258, -0.09425432880741877, 3.5467357607723144)
343	889	lognorm	(0.8473849100060571, 0.06190295276969843, 3.4783091752109367)
344	890	lognorm	(0.8306846053582893, -0.05596209496666964, 3.6364638514790704)
345	891	lognorm	(0.847209115260446, 0.028565652267548668, 3.649121295250626)
346	892	lognorm	(0.814713459421041, -0.08861894407751794, 3.699621585045201)
347	893	lognorm	(0.853415991292857, 0.08415270024756288, 3.628694273467215)
348	894	lognorm	(0.8667885133855777, 0.10083650721229626, 3.3217684872849214)
349	895	lognorm	(0.8232560923940486, 0.016107312167050074, 3.3948784248628057)
350	896	lognorm	(0.8034826556063424, -0.0083129613103089, 3.4605184464046186)
351	897	lognorm	(0.8306621815535938, 0.03811653976717476, 3.474581289869713)
352	898	lognorm	(0.8323313525482372, -0.019440640655353815, 3.5420235830428988)
353	899	lognorm	(0.7876254148585955, -0.10705089276589519, 3.7390188206940507)
